Complaint total,Temp Avg,Hum Avg,Baro Avg,Windspeed,Gust,Wind Direction,Heat Index,Wind Chill,Dew Point
0,72.89,54.0,30.09,0.0,0.0,135.0,72.89,72.9,55.3
0,72.7,54.0,30.1,0.0,0.0,135.0,72.7,72.7,55.1
1,72.55,54.0,30.12,0.0,0.0,135.0,72.55,72.5,54.9
1,72.47,54.0,30.13,0.0,0.0,135.0,72.47,72.5,54.9
0,72.48,54.0,30.14,0.0,0.0,135.0,72.48,72.5,54.9
1,72.5,54.0,30.12,0.0,0.0,135.0,72.5,72.5,54.9
0,72.58,54.0,30.12,0.0,0.0,135.0,72.58,72.6,54.9
0,73.01,54.0,30.14,0.0,0.0,135.0,73.01,73.0,55.3
0,73.75,53.0,30.14,0.0,0.0,135.0,73.75,73.8,55.5
0,74.4,53.0,30.14,0.0,0.0,135.0,74.4,74.4,56.1
0,74.98,53.0,30.14,0.0,0.0,135.0,74.98,75.0,56.7
0,75.3,53.0,30.12,0.0,0.0,135.0,75.3,75.3,57.0
0,75.5,53.0,30.12,0.0,0.0,135.0,75.5,75.5,57.2
0,75.48,53.0,30.13,0.0,0.0,135.0,75.48,75.5,57.2
0,75.28,53.0,30.14,0.0,0.0,135.0,75.28,75.3,57.0
0,75.09,53.0,30.15,0.0,0.0,135.0,75.09,75.1,57.0
0,74.7,54.0,30.16,0.0,0.0,135.0,74.7,74.7,56.9
0,74.3,54.0,30.16,0.0,0.0,135.0,74.3,74.3,56.6
1,73.88,55.0,30.15,0.0,0.0,135.0,73.88,73.9,56.7
0,73.49,55.0,30.15,0.0,0.0,135.0,73.49,73.5,56.3
0,73.12,55.0,30.15,0.0,0.0,135.0,73.12,73.1,56.0
0,72.76,55.0,30.15,0.0,0.0,135.0,72.76,72.8,55.8
0,72.48,56.0,30.14,0.0,0.0,135.0,72.48,72.5,55.9
0,72.17,56.0,30.12,0.0,0.0,135.0,72.17,72.2,55.6
0,72.03,56.0,30.11,0.0,0.0,135.0,72.03,72.0,55.6
