ARRIVAL DATE,ARRIVAL TIME (if avail),TERMINAL,SHIP NAME,LAST PORT OF CALL (if avail),PRODUCT TYPE - OIL,"PRODUCT AMOUNT - OIL, Incoming (Multiply metric tons by 7.5 for approx bbls)","PRODUCT AMOUNT - OIL, Outgoing",RUNNING TOTAL (Oil),PRODUCT TYPE - NON-OIL,"PRODUCT AMOUNT - NON OIL, Incoming","PRODUCT AMOUNT - NON OIL, Outgoing",Running Total (Specify units) (Non-Oil),Year,Month,Day,Month_name
3/28/21,,Citgo,Nor'easter,St. John ,  Premium Unleaded Gasoline,25000,0,27791470,,0,0,0,2021,3,28,Mar
3/28/21,,Citgo,Nor'easter,St. John ,  Diesel (aka ULSD),45000,0,27836470,,0,0,0,2021,3,28,Mar
3/28/21,,Citgo,Nor'easter,St. John ,  Unleaded Gasoline,96000,0,27932470,,0,0,0,2021,3,28,Mar
3/28/21,,Sprague,RTC-104,"Newington,NH","  2 Fuel Oil (aka FO, MGO, DMA)",40000,0,27972470,,0,0,0,2021,3,28,Mar
3/29/21,,Sprague,RTC-104,"Newington,NH","  2 Fuel Oil (aka FO, MGO, DMA)",40000,0,28012470,,0,0,0,2021,3,29,Mar
3/30/21,,Sprague,Fight ALS,New York,"  2 Fuel Oil (aka FO, MGO, DMA)",15000,0,28027470,,0,0,0,2021,3,30,Mar
3/30/21,,Gulf,Fight ALS,New Jersey,  Diesel (aka ULSD),83000,0,28110470,,0,0,0,2021,3,30,Mar
3/31/21,,Buckeye,Acadian,St. John ,  Diesel (aka ULSD),45000,0,28155470,,0,0,0,2021,3,31,Mar
3/31/21,,Global,Palanca Rio,St. John ,  Asphalt,42000,0,28197470,,0,0,0,2021,3,31,Mar
3/31/21,,Buckeye,Acadian,St. John ,"  2 Fuel Oil (aka FO, MGO, DMA)",45000,0,28242470,,0,0,0,2021,3,31,Mar
3/31/21,,Buckeye,Acadian,St. John ,  Unleaded Gasoline,85000,0,28327470,,0,0,0,2021,3,31,Mar
3/31/21,,Global,RTC-145,"Bayonne, NJ",  1 Fuel Oil,25000,0,28352470,,0,0,0,2021,3,31,Mar
4/2/21,,Global,Hellas Califa,,"  2 Fuel Oil (aka FO, MGO, DMA)",120000,0,28472470,,0,0,0,2021,4,2,Apr
4/2/21,,Global,New England,,  6 Fuel Oil (aka IFO 380),2032,0,28474502,,0,0,0,2021,4,2,Apr
4/2/21,,Global,New England,,  6 Fuel Oil (aka IFO 380),2032,0,28476534,,0,0,0,2021,4,2,Apr
4/6/21,,Citgo,DBL-104,"Boston, MA",  Ethanol (aka E100),17000,0,28493534,,0,0,0,2021,4,6,Apr
4/6/21,,Buckeye,DBL-104,New York,  Ethanol (aka E100),10000,0,28503534,,0,0,0,2021,4,6,Apr
4/6/21,,Sprague,Mt East Coast,St. John ,"  2 Fuel Oil (aka FO, MGO, DMA)",45000,0,28548534,,0,0,0,2021,4,6,Apr
4/8/21,,Buckeye,Iver Prosperity,St. John ,  Diesel (aka ULSD),30000,0,28578534,,0,0,0,2021,4,8,Apr
4/8/21,,Citgo,Iver Prosperity,St. John ,  Unleaded Gasoline,65000,0,28643534,,0,0,0,2021,4,8,Apr
4/8/21,,Citgo,Iver Prosperity,St. John ,"  2 Fuel Oil (aka FO, MGO, DMA)",20000,0,28663534,,0,0,0,2021,4,8,Apr
4/8/21,,Citgo,Iver Prosperity,St. John ,  Diesel (aka ULSD),30000,0,28693534,,0,0,0,2021,4,8,Apr
4/8/21,,Buckeye,Iver Prosperity,St. John ,  Unleaded Gasoline,40000,0,28733534,,0,0,0,2021,4,8,Apr
4/8/21,,Buckeye,Iver Prosperity,St. John ,  Unleaded Gasoline,35000,0,28768534,,0,0,0,2021,4,8,Apr
4/8/21,,Buckeye,Iver Prosperity,St. John ,"  2 Fuel Oil (aka FO, MGO, DMA)",50000,0,28818534,,0,0,0,2021,4,8,Apr
4/12/21,,Gulf,Maersk Messina,New York,  Unleaded Gasoline,200000,0,29018534,,0,0,0,2021,4,12,Apr
4/13/21,,Gulf,RTC-150,"New Haven, CT",  Ethanol (aka E100),33000,0,29051534,,0,0,0,2021,4,13,Apr
4/13/21,,Buckeye,Nor'easter,St. John ,"  2 Fuel Oil (aka FO, MGO, DMA)",20000,0,29071534,,0,0,0,2021,4,13,Apr
4/13/21,,Buckeye,Nor'easter,St. John ,  Diesel (aka ULSD),25000,0,29096534,,0,0,0,2021,4,13,Apr
4/13/21,,Buckeye,Nor'easter,St. John ,  Unleaded Gasoline,94000,0,29190534,,0,0,0,2021,4,13,Apr
4/14/21,,Gulf,Nor'easter,St. John ,  Unleaded Gasoline,12000,0,29202534,,0,0,0,2021,4,14,Apr
4/16/21,,Citgo,New England,St. John ,  Premium Unleaded Gasoline,18000,0,29220534,,0,0,0,2021,4,16,Apr
4/16/21,,Citgo,New England,St. John ,  Unleaded Gasoline,90000,0,29310534,,0,0,0,2021,4,16,Apr
4/16/21,,Gulf,New England,St. John ,  Unleaded Gasoline,12000,0,29322534,,0,0,0,2021,4,16,Apr
4/23/21,,Citgo,New England,St. John ,  Unleaded Gasoline,76000,0,29398534,,0,0,0,2021,4,23,Apr
4/26/21,,Sprague,Penn 92,St. John ,  Other,18500,0,29417034,,0,0,0,2021,4,26,Apr
4/26/21,,Sprague,Penn 92,St. John ,  Asphalt,71000,0,29488034,,0,0,0,2021,4,26,Apr
4/26/21,,Global,New England,,  6 Fuel Oil (aka IFO 380),2254,0,29490288,,0,0,0,2021,4,26,Apr
4/27/21,,Gulf,Nor'easter,St. John ,  Diesel (aka ULSD),60000,0,29550288,,0,0,0,2021,4,27,Apr
4/27/21,,Gulf,Nor'easter,St. John ,  Unleaded Gasoline,40000,0,29590288,,0,0,0,2021,4,27,Apr
4/28/21,,Buckeye,East Coast,St. John ,  Unleaded Gasoline,45000,0,29635288,,0,0,0,2021,4,28,Apr
4/28/21,,Buckeye,East Coast,St. John ,  Unleaded Gasoline,68000,0,29703288,,0,0,0,2021,4,28,Apr
4/28/21,,Buckeye,East Coast,St. John ,  Diesel (aka ULSD),25000,0,29728288,,0,0,0,2021,4,28,Apr
4/28/21,,Buckeye,East Coast,St. John ,"  2 Fuel Oil (aka FO, MGO, DMA)",17000,0,29745288,,0,0,0,2021,4,28,Apr
4/28/21,,Citgo,East Coast,St. John ,  Premium Unleaded Gasoline,23000,0,29768288,,0,0,0,2021,4,28,Apr
4/28/21,,Citgo,East Coast,St. John ,  Unleaded Gasoline,60000,0,29828288,,0,0,0,2021,4,28,Apr
4/30/21,,Citgo,New England,St. John ,  Unleaded Gasoline,100000,0,29928288,,0,0,0,2021,4,30,Apr
4/30/21,,Citgo,New England,St. John ,  Diesel (aka ULSD),38000,0,29966288,,0,0,0,2021,4,30,Apr
4/30/21,,Buckeye,New England,St. John ,  Diesel (aka ULSD),47000,0,30013288,,0,0,0,2021,4,30,Apr
4/30/21,,Buckeye,New England,St. John ,  Unleaded Gasoline,35000,0,30048288,,0,0,0,2021,4,30,Apr
4/30/21,,Buckeye,New England,St. John ,  Unleaded Gasoline,45000,0,30093288,,0,0,0,2021,4,30,Apr
5/2/21,,Gulf,SCF USSURI,"New Haven, CT",  Unleaded Gasoline,130000,0,30223288,,0,0,0,2021,5,2,May
5/4/21,,Sprague,Nor'easter,St. John ,"  2 Fuel Oil (aka FO, MGO, DMA)",25000,0,30248288,,0,0,0,2021,5,4,May
5/4/21,,Sprague,Nor'easter,St. John ,  Jet Fuel,35000,0,30283288,,0,0,0,2021,5,4,May
5/5/21,,Gulf,RTC-104,"New Haven, CT",  Ethanol (aka E100),20000,0,30303288,,0,0,0,2021,5,5,May
5/6/21,,Citgo,DBL-140,New York,  Ethanol (aka E100),15000,0,30318288,,0,0,0,2021,5,6,May
5/7/21,,Global,T/B Penn 92,St. John ,  Asphalt,34000,0,30352288,,0,0,0,2021,5,7,May
5/7/21,,Buckeye,DBL-104,New York,  Ethanol (aka E100),10000,0,30362288,,0,0,0,2021,5,7,May
5/8/21,,Citgo,Iver Prosperity,"Portsmouth, NH",  Unleaded Gasoline,37000,0,30399288,,0,0,0,2021,5,8,May
5/9/21,,Citgo,Acadian,St. John ,  Unleaded Gasoline,71000,0,30470288,,0,0,0,2021,5,9,May
5/9/21,,Citgo,Acadian,St. John ,  Unleaded Gasoline,23000,0,30493288,,0,0,0,2021,5,9,May
5/9/21,,Gulf,Acadian,St. John ,  Unleaded Gasoline,12000,0,30505288,,0,0,0,2021,5,9,May
5/13/21,,Citgo,Acadian,St. John ,  Unleaded Gasoline,105000,0,30610288,,0,0,0,2021,5,13,May
5/13/21,,Buckeye,Acadian,St. John ,"  2 Fuel Oil (aka FO, MGO, DMA)",8000,0,30618288,,0,0,0,2021,5,13,May
5/13/21,,Buckeye,Acadian,St. John ,  Diesel (aka ULSD),42000,0,30660288,,0,0,0,2021,5,13,May
5/13/21,,Buckeye,Acadian,St. John ,  Unleaded Gasoline,72000,0,30732288,,0,0,0,2021,5,13,May
5/13/21,,Buckeye,Acadian,St. John ,  Unleaded Gasoline,40000,0,30772288,,0,0,0,2021,5,13,May
5/14/21,,Citgo,DBL-140,New York,  Ethanol (aka E100),10000,0,30782288,,0,0,0,2021,5,14,May
5/14/21,,Buckeye,DBL-140,New York,  Ethanol (aka E100),10000,0,30792288,,0,0,0,2021,5,14,May
5/19/21,,Citgo,Acadian,St. John ,  Premium Unleaded Gasoline,20000,0,30812288,,0,0,0,2021,5,19,May
5/19/21,,Citgo,Acadian,St. John ,  Unleaded Gasoline,110000,0,30922288,,0,0,0,2021,5,19,May
5/20/21,,Portland Pipeline,Olympisky Prospect,,  Crude Oil,657243,0,31579531,,0,0,0,2021,5,20,May
5/20/21,,Citgo,Eva Leigh Cutler,New York,  Ethanol (aka E100),26000,0,31605531,,0,0,0,2021,5,20,May
5/21/21,,Portland Pipeline,Olympisky Prospect,,  Crude Oil,658000,0,32263531,,0,0,0,2021,5,21,May
5/21/21,,Gulf,Nor'easter,St. John ,  Unleaded Gasoline,38000,0,32301531,,0,0,0,2021,5,21,May
5/25/21,,Citgo,New England,St. John ,  Diesel (aka ULSD),30000,0,32331531,,0,0,0,2021,5,25,May
5/25/21,,Citgo,New England,St. John ,"  2 Fuel Oil (aka FO, MGO, DMA)",10000,0,32341531,,0,0,0,2021,5,25,May
5/25/21,,Citgo,New England,St. John ,  Unleaded Gasoline,111000,0,32452531,,0,0,0,2021,5,25,May
5/28/21,,Citgo,DBL-104,St. John ,  Ethanol (aka E100),16000,0,32468531,,0,0,0,2021,5,28,May
5/28/21,,Buckeye,DBL-104,New York,  Ethanol (aka E100),10000,0,32478531,,0,0,0,2021,5,28,May
5/29/21,,Citgo,New England,St. John ,  Diesel (aka ULSD),50000,0,32528531,,0,0,0,2021,5,29,May
5/29/21,,Citgo,New England,St. John ,  Unleaded Gasoline,65000,0,32593531,,0,0,0,2021,5,29,May
5/29/21,,Global,New England,,"  2 Fuel Oil (aka FO, MGO, DMA)",1525,0,32595056,,0,0,0,2021,5,29,May
5/29/21,,Global,New England,,  6 Fuel Oil (aka IFO 380),2371,0,32597427,,0,0,0,2021,5,29,May
5/30/21,,Global,New England,,"  2 Fuel Oil (aka FO, MGO, DMA)",1016,0,32598443,,0,0,0,2021,5,30,May
5/30/21,,Global,New England,,  6 Fuel Oil (aka IFO 380),4540,0,32602983,,0,0,0,2021,5,30,May
5/30/21,,Gulf,Aker Alos,"New Haven, CT",  Unleaded Gasoline,110000,0,32712983,,0,0,0,2021,5,30,May
