"ARRIVAL
DATE","ARRIVAL
TIME (if avail)",TERMINAL,SHIP NAME,"LAST PORT
 OF CALL (if avail)",PRODUCT TYPE - OIL,"PRODUCT AMOUNT - OIL
Multiply metric tons by 7.5 for approx bbls",,RUNNING TOTAL ,PRODUCT TYPE - NON-OIL,PRODUCT AMOUNT - NON OIL,,"RUNNING TOTAL
(Specify Units)"
2/9/21,,Citgo,Nor'easter,St. John ,23 - Unleaded Gasoline,"110,000",,"1,914,829",,,,0
2/9/21,,Citgo,Nor'easter,St. John ,29 - Diesel (aka ULSD),"20,000",,"2,024,829",,,,0
2/14/21,,Citgo,Cape Gavi,St. John ,23 - Unleaded Gasoline,"85,000",,"2,044,829",,,,0
2/14/21,,Citgo,Cape Gavi,St. John ,23 - Unleaded Gasoline,"52,000",,"2,129,829",,,,0
2/21/21,,Citgo,Nor'easter,St. John ,23 - Unleaded Gasoline,"85,000",,"2,181,829",,,,0
2/21/21,,Citgo,Nor'easter,St. John ,23 - Unleaded Gasoline,"50,000",,"2,266,829",,,,0
2/21/21,,Citgo,Nor'easter,St. John ,29 - Diesel (aka ULSD),"17,000",,"2,316,829",,,,0
2/26/21,,Citgo,Iver Prosperity,St. John ,23 - Unleaded Gasoline,"120,000",,"2,333,829",,,,0
2/28/21,,Citgo,East Coast,St. John ,23 - Unleaded Gasoline,"65,000",,"2,453,829",,,,0
2/28/21,,Citgo,East Coast,St. John ,29 - Diesel (aka ULSD),"42,000",,"2,518,829",,,,0
2/16/21,,Citgo,DBL-104,New York,34 - Ethanol (aka E-100),"15,000",,"2,560,829",,,,0
2/18/21,,Citgo,Eva Leigh Cutler,New York,34 - Ethanol (aka E-100),"64,000",,"2,575,829",,,,0
2/13/21,,Buckeye,Cape Gavi,St. John ,23 - Unleaded Gasoline,"18,000",,"2,639,829",,,,0
2/13/21,,Buckeye,Cape Gavi,St. John ,23 - Unleaded Gasoline,"65,000",,"2,657,829",,,,0
2/13/21,,Buckeye,Cape Gavi,St. John ,29 - Diesel (aka ULSD),"42,000",,"2,722,829",,,,0
2/17/21,,Buckeye,DBL-104,New York,34 - Ethanol (aka E-100),"10,000",,"2,764,829",,,,0
2/26/21,,Buckeye,Iver Prosperity,St. John ,23 - Unleaded Gasoline,"40,000",,"2,774,829",,,,0
2/26/21,,Buckeye,Iver Prosperity,St. John ,28 - Premium Unleaded Gasoline,"10,000",,"2,814,829",,,,0
2/26/21,,Buckeye,Iver Prosperity,St. John ,23 - Unleaded Gasoline,"45,000",,"2,824,829",,,,0
2/26/21,,Buckeye,Iver Prosperity,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","45,000",,"2,869,829",,,,0
2/20/21,,Buckeye,Nor'easter,St. John ,23 - Unleaded Gasoline,"11,000",,"2,914,829",,,,0
2/20/21,,Buckeye,Nor'easter,St. John ,23 - Unleaded Gasoline,"22,000",,"2,925,829",,,,0
2/20/21,,Buckeye,Nor'easter,St. John ,29 - Diesel (aka ULSD),"33,000",,"2,947,829",,,,0
2/20/21,,Buckeye,Nor'easter,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","42,000",,"2,980,829",,,,0
2/11/21,,Global,New England,,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","1,089",,"3,022,829",,,,0
2/11/21,,Global,New England,,06 - #6 Fuel Oil (aka IFO 380),"1,355",,"3,023,918",,,,0
2/11/21,,Global,Markos 1,,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","100,000",,"3,025,273",,,,0
2/14/21,,Global,New England,,"02 - #2 Fuel Oil (aka FO, MGO, DMA)",,1525,"3,125,273",,,,0
2/14/21,,Global,New England,,06 - #6 Fuel Oil (aka IFO 380),,2371,"3,123,748",,,,0
2/10/21,,Gulf,MTM Hudson,"New Haven, CT",23 - Unleaded Gasoline,"75,000",,"3,121,377",,,,0
2/17/21,,Gulf,DBL-102,"Chelsea, MA",23 - Unleaded Gasoline,"32,000",,"3,196,377",,,,0
2/18/21,,Gulf,Fight ALS,"Bayonne, NJ",29 - Diesel (aka ULSD),"83,000",,"3,228,377",,,,0
2/15/21,,Sprague,RTC-104,"Portsmouth, NH","02 - #2 Fuel Oil (aka FO, MGO, DMA)","35,000",,"3,311,377",,,,0
2/15/21,,Sprague,RTC-104,"Portsmouth, NH",88 - Other,"15,000",,"3,346,377",,,,0
2/28/21,,Portland Pipeline,Cobalt Sun,,61 - Crude Oil,"700,000",,"3,361,377",,,,0
3/13/21,,Citgo,DBL-104,"Boston, MA",34 - Ethanol (aka E-100),"15,000",,"4,061,377",,,,0
3/13/21,,Citgo,Great Eastern,St. John ,23 - Unleaded Gasoline,"38,000",,"4,076,377",,,,0
3/13/21,,Citgo,Great Eastern,St. John ,29 - Diesel (aka ULSD),"45,000",,"4,114,377",,,,0
3/12/21,,Citgo,New England,St. John ,23 - Unleaded Gasoline,"38,000",,"4,159,377",,,,0
3/12/21,,Citgo,New England,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","35,000",,"4,197,377",,,,0
