"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT06","WT08"
"USW00014764","PORTLAND JETPORT, ME US","2021-02-11","7.16",,"0.00","0.0","7.1","19","27","8","  310","  330","21.9","28.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-12","4.03",,"0.00","0.0","7.1","13","24","-1","  350","  350","13.0","15.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-13","4.03",,"0.00","0.0","5.9","17","28","8","  310","   30","10.1","13.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-14","4.70",,"0.00","0.0","5.9","24","30","21","  330","  340","10.1","14.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-15","4.70",,"0.01","0.0","5.9","24","29","18","   30","   10","13.0","17.0","    1",,,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-02-16","9.40",,"0.59","0.5","5.9","29","34","27","  350","   50","17.0","23.9","    1",,,"    1","    1",
"USW00014764","PORTLAND JETPORT, ME US","2021-02-17","6.93",,"0.00","0.0","5.9","26","33","15","  280","  260","21.9","29.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-18","2.68",,"0.00","0.0","5.1","21","26","15","   20","   10","8.9","12.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-19","7.61",,"0.06","2.0","5.1","25","27","22","  360","  360","14.1","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-20","8.28",,"0.00","0.2","7.1","26","31","20","  320","  320","16.1","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-21","9.62",,"0.00","0.0","5.9","24","33","14","  290","  330","18.1","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-22","6.71",,"0.50","0.0","5.9","24","38","11","  190","  210","21.9","30.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-23","5.59",,"0.00","0.0","5.1","35","42","24","  310","  310","16.1","19.9","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-24","7.61",,"0.00","0.0","5.1","39","47","32","  250","  270","16.1","21.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-25","16.78",,"0.00","0.0","3.9","39","45","25","  290","  300","36.9","44.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-26","5.14",,"0.00","0.0","3.9","26","33","18","  320","  320","14.1","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-27","7.83",,"0.64","0.2","3.9","31","41","20","  300","  310","23.9","31.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-28","6.93",,"0.00","0.0","3.1","37","44","29","  290","  300","23.9","30.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-01","10.29",,"0.48","0.1","3.1","39","43","20","  310","  300","32.0","40.9","    1","    1",,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-03-02","20.58",,"0.00","0.0","2.0","19","25","7","  300","  300","40.0","49.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-03","4.47",,"0.00","0.0","2.0","24","37","14","  280","  290","15.0","21.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-04","12.53",,"0.00","0.0","2.0","30","37","21","  300","  300","25.1","33.1",,,,,,
